F1,F2,Status
-0.19077856,0.07243728,1
0.09169505,-0.02025275,1
-0.19564785,0.11325549,1
-0.06693949,-0.0285905,1
-0.13755212,-0.13909293,1
-0.16814366,-0.24999767,1
0.289196,0.08247712,1
-0.09760884,0.04378343,1
-0.19564785,0.11325549,1
-0.00861833,0.03774841,1
0.00956459,-0.03163907,1
0.289196,0.08247712,1
-0.11350581,0.1452182,1
-0.19564785,0.11325549,1
-0.12361046,0.02362982,1
-0.16769471,-0.03448194,1
0.05743754,-0.06291268,1
0.05577095,0.13581242,1
-0.25841259,-0.1484807,1
-0.19564785,0.11325549,1
-0.01601856,0.0609878,1
0.02058772,-0.32765737,1
-0.02771396,-0.00949166,1
0.09433053,0.06945338,1
-0.19564785,0.11325549,1
0.03263154,0.20440413,1
-0.17633016,-0.21280243,1
-0.22051902,0.09737878,1
-0.19564785,0.11325549,1
-0.19564785,0.11325549,1
0.05577095,0.13581242,1
-0.10321749,-0.06067491,1
0.289196,0.08247712,1
0.07537605,-0.0454762,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
-0.00243696,0.0954088,1
0.289196,0.08247712,1
0.289196,0.08247712,1
-0.05399219,-0.37337381,1
0.289196,0.08247712,1
-0.19125676,0.03941615,1
0.05577095,0.13581242,1
0.289196,0.08247712,1
-0.19564785,0.11325549,1
-0.14703072,-0.00061516,1
-0.01734341,0.0340612,1
0.01944738,-0.06432609,1
-0.19564785,0.11325549,1
0.20421046,-0.12425649,1
-0.12593379,0.06707849,1
-0.14040266,-0.06629729,1
-0.19564785,0.11325549,1
-0.11350581,0.1452182,1
0.064669,-0.07831107,1
0.289196,0.08247712,1
0.02058772,-0.32765737,1
0.03343441,0.02010544,1
-0.19077856,0.07243728,1
-0.05220617,0.00466003,1
-0.06693949,-0.0285905,1
-0.19564785,0.11325549,1
-0.06760657,0.03949779,1
-0.07263087,0.13526603,1
0.02058772,-0.32765737,1
0.289196,0.08247712,1
0.289196,0.08247712,1
-0.20204967,0.06916189,1
-0.19564785,0.11325549,1
0.02627552,-0.02747674,1
0.06538411,0.15541868,1
-0.01133605,0.00344047,1
0.12350258,0.00728522,1
-0.18077785,-0.17551836,1
-0.19564785,0.11325549,1
-0.14905537,-0.28866836,1
0.06195117,0.00373065,1
-0.09759497,0.02745359,1
-0.19564785,0.11325549,1
-0.19564785,0.11325549,1
-0.12514735,0.16866801,1
-0.01567368,-0.11385264,1
0.05577095,0.13581242,1
-0.19564785,0.11325549,1
0.289196,0.08247712,1
0.08891177,-0.04553763,1
0.03693881,-0.05626183,1
0.06958959,-0.05725489,1
-0.19564785,0.11325549,1
0.1945668,0.01820776,1
-0.19564785,0.11325549,1
-0.06772386,-0.03659464,1
-0.04693967,0.01370604,1
0.17635588,-0.08316933,1
0.06944541,-0.00693914,1
0.06944541,-0.00693914,1
0.289196,0.08247712,1
-0.19564785,0.11325549,1
0.13450295,-0.09388966,1
0.09582599,-0.04346608,1
-0.14095666,-0.02809033,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.289196,0.08247712,1
-0.19564785,0.11325549,1
0.09433053,0.06945338,1
-0.19564785,0.11325549,1
-0.19077856,0.07243728,1
-0.06760657,0.03949779,1
-0.19564785,0.11325549,1
0.05577095,0.13581242,1
-0.19564785,0.11325549,1
0.22299923,0.0567217,1
0.289196,0.08247712,1
-0.19564785,0.11325549,1
0.1396076,-0.0133208,1
0.1945668,0.01820776,1
0.289196,0.08247712,1
0.289196,0.08247712,1
-0.12514735,0.16866801,1
0.289196,0.08247712,1
0.289196,0.08247712,1
0.19356458,-0.06790449,1
0.289196,0.08247712,1
-0.13091146,0.05666617,1
0.05577095,0.13581242,1
-0.19564785,0.11325549,1
-0.06760657,0.03949779,1
-0.19564785,0.11325549,1
-0.19125676,0.03941615,1
0.05577095,0.13581242,1
-0.19564785,0.11325549,1
0.1945668,0.01820776,1
-0.06693949,-0.0285905,1
-0.10581171,-0.10276594,1
-0.19564785,0.11325549,1
0.00645727,0.05033402,1
0.02058772,-0.32765737,1
-0.19564785,0.11325549,1
0.02058772,-0.32765737,1
-0.19077856,0.07243728,1
0.289196,0.08247712,1
-0.19564785,0.11325549,1
0.12575308,-0.10881098,1
0.289196,0.08247712,1
0.289196,0.08247712,1
-0.18294187,-0.00361958,1
0.05577095,0.13581242,1
-0.19564785,0.11325549,1
-0.19564785,0.11325549,1
0.289196,0.08247712,1
0.02267488,-0.33453689,1
0.02058772,-0.32765737,1
0.09582599,-0.04346608,1
0.02058772,-0.32765737,1
-0.11350581,0.1452182,1
0.05577095,0.13581242,1
0.02058772,-0.32765737,1
-0.18962418,0.06276033,1
0.064669,-0.07831107,1
-0.14905537,-0.28866836,1
0.02058772,-0.32765737,1
-0.01601856,0.0609878,1
-0.06693949,-0.0285905,1
-0.19125676,0.03941615,1
0.05577095,0.13581242,1
0.06944541,-0.00693914,1
0.06195117,0.00373065,1
0.02058772,-0.32765737,1
0.09433053,0.06945338,1
0.05764754,-0.14573554,1
0.02058772,-0.32765737,1
0.289196,0.08247712,1
0.289196,0.08247712,1
-0.17282681,-0.0181488,1
0.00723267,-0.14810748,1
-0.01996127,-0.00724298,1
0.02058772,-0.32765737,1
-0.01734341,0.0340612,1
0.2759698,-0.12030558,1
0.289196,0.08247712,1
0.05577095,0.13581242,1
-0.06760657,0.03949779,1
-0.19564785,0.11325549,1
0.15176709,0.00672758,1
0.05577095,0.13581242,1
-0.25235304,-0.14882833,1
-0.01601856,0.0609878,1
-0.0178005,0.02861837,1
-0.08150225,0.15183681,1
-0.07130601,0.02198383,1
-0.00861833,0.03774841,1
0.05577095,0.13581242,1
-0.06638931,0.02362335,1
0.05577095,0.13581242,1
-0.01783654,-0.00167747,1
-0.19564785,0.11325549,1
0.289196,0.08247712,1
0.15176709,0.00672758,1
-0.17870322,-0.02521,1
-0.19564785,0.11325549,1
-0.03584382,-0.02624496,1
0.05577095,0.13581242,1
-0.09759497,0.02745359,1
-0.19564785,0.11325549,1
0.13658211,0.04839286,1
-0.05951368,0.02722114,1
-0.11293586,-0.30582433,1
-0.00861833,0.03774841,1
0.289196,0.08247712,1
-0.11350581,0.1452182,1
-0.11350581,0.1452182,1
-0.19564785,0.11325549,1
-0.06760657,0.03949779,1
0.00349139,-0.03795357,1
0.00335548,-0.10187323,1
0.02058772,-0.32765737,1
-0.19564785,0.11325549,1
-0.05220617,0.00466003,1
0.03686962,-0.04993027,1
-0.19077856,0.07243728,1
0.05577095,0.13581242,1
-0.08052346,-0.0297318,1
-0.10122845,-0.22540298,1
0.02058772,-0.32765737,1
0.131543,-0.00112852,1
0.05577095,0.13581242,1
0.1414959,-0.02502582,1
-0.26948832,-0.22490761,1
-0.19187694,0.09014792,1
-0.06693949,-0.0285905,1
0.15176709,0.00672758,1
-0.11350581,0.1452182,1
-0.18962418,0.06276033,1
-0.19564785,0.11325549,1
0.289196,0.08247712,1
0.05577095,0.13581242,1
-0.18294187,-0.00361958,1
0.03000338,-0.01556851,1
-0.09621704,0.06916409,1
-0.02580187,-0.00993229,1
-0.03911305,0.06526365,1
0.03899673,-0.21318403,1
0.02058772,-0.32765737,1
0.289196,0.08247712,1
-0.19564785,0.11325549,1
0.08107533,0.10813452,1
0.02058772,-0.32765737,1
-0.11350581,0.1452182,1
-0.19077856,0.07243728,1
0.09433053,0.06945338,1
0.289196,0.08247712,1
0.1945668,0.01820776,1
-0.18962418,0.06276033,1
